
=== Lesson 1 ===
кто                       | 누가, 누구
что                       | 무엇이, 무엇
ма́ма                     | 엄마
па́па                     | 아빠
мать                      | 어머니
оте́ц                     | 아버지
сын                       | 아들
дочь                      | 딸
брат                      | 형제, 남자형제
сестра́                   | 자매, 여자형제
муж                       | 남편
жена́                     | 아내
де́душка                  | 할아버지
ба́бушка                  | 할머니
мужчи́на                  | 남자
же́нщина                  | 여자
студе́нт                  | 대학생(남자)
студе́нтка                | 대학생(여자)
учи́тель                  | 남자선생님(초중고)
учи́тельница              | 여자선생님(초중고)
профе́ссор                | 교수
преподава́тель            | 선생님(대학, 연구소)
ма́льчик                  | 남자아이
де́вочка                  | 여자아이
де́вушка                  | 아가씨, 젊은 여자
молодо́й челове́к         | 젊은이, 젊은 남자
де́ти                     | 아이들
шко́ла                    | 학교(초중고)
университе́т              | 대학교
институ́т                 | 연구소, 대학
журна́л                   | 잡지
музе́й                    | 박물관
кафе́                     | 카페
стол                      | 탁자, 테이블, 식탁
стул                      | 의자
кни́га                    | 책
газе́та                   | 신문
письмо́                   | 편지
ру́чка                    | 볼펜, 손잡이
слова́рь                  | 사전
тетра́дь                  | 공책
ра́дио                    | 라디오
общежи́тие                | 기숙사
день                      | 날, 하루, 낮
пе́сня                    | 노래
мо́ре                     | 바다
ночь                      | 밤
портфе́ль                 | 서류가방
му́зыка                   | 음악
каранда́ш                 | 연필
ле́кция                   | 강의
ко́шка                    | 고양이
до́ма                     | 집에서
сейча́с                   | 지금, 이제
здесь                     | 여기
там                       | 저기
э́то                      | 이것은, 이것이
сигаре́ты                 | 담배
стихи́                    | 시
вре́мя                    | 시간, 시각
и́мя                      | 이름
чита́ть                   | 읽다
слу́шать                  | 듣다
де́лать                   | 하다
я                         | 나 (1인칭 단수)
ты                        | 너 (2인칭 단수)
он                        | 그(남자)
она́                      | 그녀(여자)
оно́                      | 그것(사물)
мы                        | 우리
вы                        | 너희, 당신(존댓말)
они́                      | 그들

=== Lesson 2 ===
дя́дя                     | 아저씨, 삼촌
тётя                      | 아줌마, 이모, 고모
врач                      | 의사
друг                      | 친구(남자)
подру́га                  | 여자친구
сосе́д                    | 이웃남자
сосе́дка                  | 이웃여자
кинотеа́тр                | 영화극장
теа́тр                    | 극장
кино́                     | 영화, 영화극장
исто́рия                  | 역사
литерату́ра               | 문학
пальто́                   | 외투, 겉옷
пло́щадь                  | 광장
го́род                    | 도시
дом                       | 집, 건물
библиоте́ка               | 도서관
вокза́л                   | 역(기차)
банк                      | 은행
магази́н                  | 가게
апте́ка                   | 약국
по́чта                    | 우체국
трамва́й                  | 트램, 전차
авто́бус                  | 버스
тролле́йбус               | 트롤리버스
такси́                    | 택시
спра́шивать               | 묻다, 질문하다
понима́ть                 | 이해하다
знать                     | 알다

=== Lesson 3 ===
рестора́н                 | 레스토랑, 식당
компа́ния                 | 회사
о́фис                     | 사무실
санато́рий                | 휴양소, 요양원
парк                      | 공원
больни́ца                 | 병원
заво́д                    | 공장
стадио́н                  | 경기장, 스타디움
уро́к                     | 수업, 과
конце́рт                  | 콘서트
бале́т                    | 발레
о́пера                    | 오페라
пе́нсия                   | 연금
сад                       | 정원
лес                       | 숲
пол                       | 바닥, 성별
шкаф                      | 옷장
аэропо́рт                 | 공항
Коре́я                    | 한국
Росси́я                   | 러시아
Кита́й                    | 중국
Япо́ния                   | 일본
Аме́рика                  | 미국
А́нглия                   | 영국
пенсионе́р                | 연금생활자
апте́карь                 | 약사
библиоте́карь             | 도서관사서
бизнесме́н                | 사업가, 비즈니스맨
инжене́р                  | 기사, 엔지니어
пова́р                    | 요리사
почтальо́н                | 우체부
жить                      | 살다
рабо́тать                 | 일하다
учи́ться                  | 공부하다
за́втракать               | 아침을 먹다
обе́дать                  | 점심을 먹다
у́жинать                  | 저녁을 먹다
гуля́ть                   | 산책하다
отдыха́ть                 | 쉬다, 휴가를 보내다
восто́к                   | 동쪽
за́пад                    | 서쪽
юг                        | 남쪽
се́вер                    | 북쪽

=== Lesson conv ===
Здра́вствуйте             | 안녕하세요 (존댓말)
Приве́т                   | 안녕 (반말)
До свида́ния              | 안녕히 가세요
Пока́                     | 잘가 (반말)
Спаси́бо                  | 감사합니다
Пожа́луйста               | 천만에요, 부탁합니다
Извини́те                 | 실례합니다, 죄송합니다
Как вас зову́т?           | 성함이 어떻게 되세요?
Меня́ зову́т...           | 제 이름은 ...입니다
Как дела́?                | 어떻게 지내세요?
Хорошо́                   | 좋아요, 잘 지내요
Норма́льно                | 그럭저럭요
Пло́хо                    | 안 좋아요
Отку́да вы?               | 어디서 오셨어요?
Я из Коре́и               | 저는 한국에서 왔어요
Где                       | 어디에 (위치 의문사)
Куда́                     | 어디로 (방향 의문사)
Как                       | 어떻게, 어때요
Когда́                    | 언제
Почему́                   | 왜
Да                        | 네, 예
Нет                       | 아니요
Не                        | ~이 아니다 (부정)
Кем вы рабо́таете?        | 직업이 무엇입니까?
Я студе́нт                | 저는 학생입니다
О́чень прия́тно           | 만나서 반갑습니다
